original_title,overview,genre names,keywords
avatar,22nd century paraplegic marine dispatched moon pandora unique mission torn following protecting alien civilization,action adventure fantasy science fiction,culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind soul 3d
pirates of the caribbean: at world's end,captain barbossa believed dead life headed edge earth turner elizabeth swann,adventure fantasy action,ocean drug abuse exotic island east india trading company love ones life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger
spectre,cryptic message bondâs past sends trail uncover sinister organization battles political forces secret service alive bond peels layers deceit reveal terrible truth spectre,action adventure crime,spy based novel secret agent sequel mi6 british secret service united kingdom
the dark knight rises,following death district attorney harvey dent batman assumes responsibility dents crimes protect late attorneys reputation subsequently hunted gotham city police department eight batman encounters mysterious selina kyle villainous bane terrorist leader overwhelms gothams finest dark knight resurfaces protect city branded enemy,action crime drama thriller,dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante coverup superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman
john carter,john carter warweary former military captain whos inexplicably transported mysterious exotic planet barsoom mars reluctantly embroiled epic conflict world brink collapse carter rediscovers humanity realizes survival barsoom people rests hands,action adventure science fiction,based novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword planet 19th century 3d
spider-man 3,seemingly invincible spiderman goes allnew crop villain â including shapeshifting sandman spidermanâs superpowers altered alien organism alter ego peter parker deals nemesis eddie brock caught love triangle,fantasy action adventure,dual identity amnesia sandstorm love ones life forgiveness spider wretch death friend egomania sand narcism hostility marvel comic sequel superhero revenge
tangled,kingdoms wantedand charmingbandit flynn rider hides mysterious tower hes hostage rapunzel beautiful feisty towerbound teen 70 feet magical golden hair flynns curious captor whos looking ticket tower shes locked strikes deal handsome thief unlikely duo sets actionpacked escapade complete supercop horse overprotective chameleon gruff gang pub thugs,animation family,hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based fairy tale duringcreditsstinger healing gift animal sidekick
avengers: age of ultron,tony stark tries jumpstart dormant peacekeeping program awry earthâs mightiest heroes ultimate test fate planet hangs balance villainous ultron emerges avengers stop enacting terrible plans soon uneasy alliances unexpected action pave epic unique global adventure,action adventure science fiction,marvel comic sequel superhero based comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d
harry potter and the half-blood prince,harry begins sixth hogwarts discovers book marked property halfblood prince begins learn lord voldemorts dark past,adventure fantasy family,witch magic broom school witchcraft wizardry apparition teenage crush werewolf
batman v superman: dawn of justice,fearing actions godlike super hero left unchecked gotham cityâs own formidable forceful vigilante takes metropolisâs revered modernday savior world wrestles sort hero batman superman war threat quickly arises putting mankind danger itâs,action adventure fantasy,dc comics vigilante superhero based comic book revenge super powers clark kent bruce wayne dc extended universe
superman returns,superman returns discover 5year absence allowed lex luthor walk free closest abandoned moved luthor plots ultimate revenge millions killed change planet forever ridding steel,adventure fantasy action science fiction,saving world dc comics invulnerability sequel superhero based comic book kryptonite super powers superhuman strength lex luthor
quantum of solace,quantum solace continues adventures james bond casino royale betrayed vesper woman loved 007 fights urge mission personal pursuing determination uncover truth bond interrogate white reveals organization blackmailed vesper complex dangerous imagined,adventure action thriller crime,killing undercover secret agent british secret service
pirates of the caribbean: dead man's chest,captain jack sparrow blood debt ghostly davey jones attempts avoid eternal damnation,adventure fantasy action,witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger
the lone ranger,texas rangers chase gang outlaws led butch cavendish gang ambushes rangers seemingly killing survivor found american indian named tonto nurses health ranger donning mask riding white stallion named silver teams tonto bring unscrupulous gang ilk justice,action adventure western,texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche lone ranger tonto
man of steel,boy learns extraordinary powers earth journeys discover sent hero emerge save world annihilation symbol hope mankind,action adventure fantasy science fiction,saving world dc comics superhero based comic book superhuman alien invasion reboot super powers dc extended universe
